팀명,경기장,관중수,경기날짜,1팀score,2팀score,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,메디,24,67,20,4,2,29.85,37.43,41,11,3,1,26.83,46.59,3,3,0,0,100.0,17.65,0,0,0,0,0.0,0.0,12,1,1,0,8.33,57.14,0,0,0,0,0.0,0.0,11,5,0,1,45.45,28.21,17,1,3,0.2,17.89,24,20,4,0,4.0,20.17,7,0,1,0.0,3.72,28,11,2,1.8,28.28,20,3,5,6,1,0.6,21.28,1,0,7,L,0.34782608695652173,1
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,고예림,15,40,12,6,4,30.0,22.35,25,3,5,4,12.0,28.41,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,15,9,1,0,60.0,38.46,18,3,2,0.6,18.95,22,17,5,0,3.4,18.49,7,1,0,0.2,3.72,25,15,1,2.8,25.25,10,0,7,3,0,0.0,10.64,0,0,6,L,0.21739130434782608,1
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,김희진,15,36,10,2,2,27.78,20.11,10,2,0,1,20.0,11.36,9,4,1,1,44.44,52.94,0,0,0,0,0.0,0.0,9,0,1,0,0.0,42.86,0,0,0,0,0.0,0.0,8,4,0,0,50.0,20.51,13,1,3,0.2,13.68,12,11,1,0,2.2,10.08,7,0,1,0.0,3.72,0,0,0,0.0,0.0,14,4,6,3,0,0.8,14.89,1,0,6,R,0.21739130434782608,1
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,김미연,7,16,5,1,0,31.25,8.94,6,1,0,0,16.67,6.82,1,0,1,0,0.0,5.88,3,1,0,0,33.33,42.86,0,0,0,0,0.0,0.0,1,0,0,0,0.0,14.29,5,3,0,0,60.0,12.82,14,0,1,0.0,14.74,6,5,1,0,1.0,5.04,3,0,0,0.0,1.6,1,0,0,0.0,1.01,12,2,2,7,0,0.4,12.77,3,0,1,L,0.10144927536231885,1
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,김수지,6,16,4,1,2,25.0,8.94,2,0,0,0,0.0,2.27,4,2,0,1,50.0,23.53,4,1,1,0,25.0,57.14,0,0,0,0,0.0,0.0,6,1,0,1,16.67,85.71,0,0,0,0,0.0,0.0,14,1,1,0.2,14.74,11,10,1,0,2.0,9.24,7,0,0,0.0,3.72,0,0,0,0.0,0.0,28,1,13,9,0,0.2,29.79,2,0,3,C,0.08695652173913043,1
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,이고은,1,4,0,1,0,0.0,2.23,4,0,1,0,0.0,4.55,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,1,0,0.2,14.74,5,4,1,0,0.8,4.2,84,27,1,5.4,44.68,0,0,0,0.0,0.0,3,0,1,0,1,0.0,3.19,1,0,2,S,0.014492753623188406,0
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,염혜선,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,4.21,11,10,1,0,2.5,9.24,65,21,0,5.25,34.57,0,0,0,0.0,0.0,7,1,3,2,0,0.25,7.45,0,0,0,S,0.014492753623188406,1
IBK기업은행,화성종합실내체육관,3482,2017-10-14,3,2,0,김혜선,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,28,25,3,0,5.0,23.53,8,2,0,0.4,4.26,45,14,2,2.4,45.45,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
흥국생명,화성종합실내체육관,3482,2017-10-14,3,2,1,심슨,48,105,44,4,12,41.9,54.4,50,17,3,5,34.0,47.17,6,5,0,0,83.33,66.67,0,0,0,0,0.0,0.0,43,20,1,6,46.51,87.76,0,0,0,0,0.0,0.0,6,2,0,1,33.33,60.0,18,0,1,0.0,16.51,19,14,5,0,2.8,13.1,6,1,0,0.2,3.08,0,0,0,0.0,0.0,13,4,5,2,0,0.8,18.06,1,0,13,L,0.5853658536585366,1
흥국생명,화성종합실내체육관,3482,2017-10-14,3,2,1,이재영,13,41,10,2,1,24.39,21.24,32,7,1,1,21.88,30.19,3,1,0,0,33.33,33.33,0,0,0,0,0.0,0.0,5,1,1,0,20.0,10.2,0,0,0,0,0.0,0.0,1,1,0,0,100.0,10.0,21,1,2,0.2,19.27,27,22,5,0,4.4,18.62,4,0,0,0.0,2.05,34,21,1,4.0,40.0,6,2,4,0,0,0.4,8.33,0,0,3,L,0.15853658536585366,1
흥국생명,화성종합실내체육관,3482,2017-10-14,3,2,1,정시영,8,10,3,1,1,30.0,5.18,2,0,1,0,0.0,1.89,0,0,0,0,0.0,0.0,5,2,0,1,40.0,55.56,0,0,0,0,0.0,0.0,3,1,0,0,33.33,30.0,0,0,0,0,0.0,0.0,15,1,2,0.2,13.76,8,6,2,0,1.2,5.52,6,2,0,0.4,3.08,0,0,0,0.0,0.0,20,4,11,4,0,0.8,27.78,2,0,3,R,0.0975609756097561,1
